CPU,RAM,Price,File
EPYC VPS,256,Unknown,199587_heartbeat_IT_-_Black_Friday_2024_Offers_-_2_Cores__4_GiB_RAM___50_GiB_Disk_for_42_€_per_two_years.md
epyc-ryzen-singapore-hong-kong-tokyo-los-angeles,256,$99,"209027_$99_EPYCRyzen_Singapore,_Hong_Kong,_Tokyo,_Los_Angeles.md"
EPYC deal,256,$99.99,212679_EPYC_deal_for_Singapore_and_Los_Angeles.md
EPYC Deal,256,$119.99,"216649_AMD_RyzenEPYC_Deal_for_Singapore,_Tokyo,_Hong_Kong_and_Los_Angeles.md"
EPYC 4545P,256,$99,208176_New_AMD_EPYC_4545P_Starting_at_$99mo__Daily_Deals_-_Buy_today_and_Save_Every_Single_Month!.md
Epyc 4545P,256,$9,"210919_[Dedicated_Servers]_from_$9mo__AMD_Epyc_4545P_AMD_Ryzen_Core_i9_10900K,_Xeon_and_MORE!.md"
EPYC powerhouses,256,$99,210000_GorillaServers_Spices_Things_Up_-_The_Fall_Server_Event_Begins_+_Free_Stuff.md
epyc-99-month-save-on-daily-deals-dedicated-servers-in-ny-la-miami,256,$99,"207737_BRAND_NEW_16_CORE_EPYC_$99month__Save_on_Daily_Deals_Dedicated_Servers_In_NY,_LA_&_Miami.md"
EPYC Milan,256,$39,211961_New_Black_Friday_deals_from_ServerPoint_on_dedicated_and_virtual_servers!.md
EPYC 7702P,256,$129,207992_Heymman_Servers_-_$129_-_EPYC_7702P_-_64_cores_-_512GB_RAM_-_1.88TB_NVMe.md
EPYC KVM,256,Unknown,"211920_AlphaVPS_Black_Friday_2025_Mega_Thread_—_Ryzen_9950X,_EPYC_KVM,_Cheap_VPS,_Bare_Metal,_Double_BW.md"
EPYC 7702,256,$179,210714_Heymman_Servers_-_$179_-_Dual_EPYC_7702_-_128_cores_-_512GB_RAM.md
Ryzen 7,256,$45,215645_Dedispec_Dual_E5-26XX__64GB_RAM__480GB_SSD__1Gbit_Unmetered_-_$45.md
EPYC Deal,256,$69.99,"215119_AMD_RyzenEPYC_Deal_for_Tokyo,_Hong_Kong_and_Los_Angeles.md"
Ryzen Giveaway,256,$35,206635_Dart_Day_2025_Event_Thread__Deals__Ryzen_Giveaway.md
EPYC NVMe,256,$600,210627_GREENCLOUD__12th_Anniversary_Sale__Double_the_Deals__Thousands_of_Giveaways.md
epyc-ryzen-deal-singapore-hong-kong-tokyo-los-angeles,256,$99.99,"210171_EPYCRyzen_Deal_Singapore,_Hong_Kong,_Tokyo,_Los_Angeles.md"
Ryzen 9950x,256,$3.00,207987_★_NohaVPS__VPS_FROM_$3.00__Ryzen_9950x__DEDICATED_FROM_$25.95__10_Gbps_★.md
EPYC 7443P,256,$99.99,208354_Limited-Time_Server_Deal_Los_Angeles_and_Singapore.md
Ryzen 9,256,$200.00,215892_AMD_Ryzen_9_9950X_-_128GB_RAM_-_2TB_Gen5_NVMe_@10gbps_200$Month..md
Ryzen 5,256,$39,212788_Dedispec_Dual_E5_64GB_&_480GB_SSD_-_$39_(96GB_-_$49__128GB_-_$59)__BYO_GPU_Servers__Colo_Deals.md
Ryzen 9,256,$70,205298_F_I_B_E_R_S_T_A_T_E_-_L_A_-_O_V_E_R_L_O_A_D_-_DOUBLE_ALL_THE_THINGS._9950X_MADNESS_+_GIVEAWAYS.md
Epyc 4545P,256,$200,"215483_[US_Dedicated_Servers]_Ryzen_&_Intel__NY,_LA,_&_Miami__Instant_Deploy.md"
EPYC 7443P,256,$40,"211531_NEW_EPYC_7443P_with_10G_Fiber_Dedi_available!!_Colos,_Dedis_and_Storage_at_Microtronix_DC_(Ohio).md"
epyc-storage-servers-more-extra-discounts-with-metal,256,$99,"209151_Labor_Day_Sale_Ryzen,_Threadripper,_Epyc,_Storage_Servers_&_More!__Extra_Discounts_with_Metal+.md"
EPYC Dedicated,256,$149,211261_Ryzen_&_EPYC_Dedicated_Servers_—_10Gbps.md
Epyc 4545P,256,$99,"210485_Get_25%_Off_Hardware_Upgrades,_Free_Additional_IPv4_&_10_Gbps_Port_with_Metal+_Membership.md"
EPYC Rome,256,Unknown,211330_AlphaVPS_11.11_Specials_-_Back_After_Nearly_a_Year!.md
Xeon Gold 6138,256,$200.00,208382_10Gbps_USA_Dedicated_Server_Starting_150$Mo_-_Host_Mayo_Ltd..md
EPYC Milan,256,$89,"208132_Ryzen_5950X,_9950X,_Intel_2697v3,_2699v3,_dedis_from_$89mo__Colocation_2nd_month_free__USA.md"
EPYC KVM,256,$12,208242_9950X__EPYC_KVM_VPS__25%_OFF__Up_to_10Gbps__From_$12yr__NEW_Ryzen_&_EPYC_Specials_+_DOUBLE_BW.md
Epyc 4545P,256,$200,215888_[Dedicated_Servers]_Amsterdam_Pre-orders_Open___Limited_Availability__Instant_Setup.md
Ryzen 9,256,$99,209090_ColoCrossing's_Labor_Day_Sale_-_Dedicated_Servers_from_$99year!!_VPS_with_2x_Bandwidth_&_Storage!!.md
EPYC USA,256,$12,209506_10Gbps_RyzenEPYC_USA_KVM_VPS__From_$12yr__40%_OFF__New_LET_Specials_&_DOUBLE_BW.md
EPYC Rome,256,$10,213289_New_Year_&_Christmas_Sale!_•_10Gbps_Ryzen_9950X_KVM_VPS__Up_to_50%_OFF__5x_GIVEAWAY_+_DOUBLE_BW.md
Xeon Gold 6138,256,$99,208141_BIG_LAUNCH_MLNL.HOST_🇨🇭_Swiss_Dedicated_Servers__Fully_Customizable__From_$99.md
Epyc 4545P,256,$19,"212734_[Dedicated_Servers]_Starting_at_$19mo_-_Instant_Setup_-_Ryzen,_Intel_and_MORE!.md"
Xeon Gold 6138,256,$140.00,209058_10Gbps_Unmetered_USA_Dedicated_Servers.md
epyc-intel-dedicated-servers-la-nyc-miami-1-gbps-unmetered-on-all,256,$99,"210026_Get_Daily_Deals_on_Ryzen,_Epyc_&_Intel_Dedicated_Servers__LA._NYC._Miami__1_Gbps_Unmetered_on_ALL.md"
EPYC Deal,256,$119.99,"216053_AMD_RyzenEPYC_Deal_for_Singapore,_Tokyo,_Hong_Kong_and_Los_Angeles.md"
Ryzen 9,256,$129.00,215185_Tier.net_-_Spring_2026_Promotion_-_AMD_&_Intel_Deals.md
EPYC Milan,256,$59.95,213822_Tier.net__Intel_Server_Deals_-_Best_Value_Dedicated_Hosting.md
EPYC VPS,256,$10,211358_11.11_Specials!_•_RyzenEPYC_VPS__10Gbps__66%_OFF__15x_GIVEAWAYS_+_DOUBLE_BW.md
epyc-threadripper-custom-builder,256,$129.00,215584_Tier.net_-_High-Performance_VPS_&_Dedicated__AMD_EPYC_+_Threadripper__Custom_Builder.md
EPYC 7443P,256,$500,"215784_Full-Rack_10G_Fiber_Colo_$500m_starting!_Colos,_Dedis_and_Storage_at_Microtronix_DC_(Ohio).md"
Ryzen Deals,256,$45,213953_Dedispec_$45_Dual_E5_Specials_and_Cheap_Ryzen_Deals.md
Epyc 4545P,256,$19,213896_$19mo_Dedicated_Servers__Upgrade_to_2Gbps_at_Checkout_for_$20mo_Ends_31_Jan.md
EPYC 4545P,256,$200,"216828_Dedicated_Servers_US_&_EU__EPYC_4545P,_RYZEN_9950X_&_More.md"
EPYC Milan,256,$50,210755_TierNet_-_Ryzen_&_Intel_Deals_-_First_5_orders_will_receive_additional_10%_discount.md
EPYC,256,$40,207147_PureVoltage_4th_of_July_–_$40_Dedicated+_VPS_&_Colo__GIVEAWAY_INSIDE.md
Epyc 4545P,256,$99,209604_For_$99Year_Get_Discounted_Upgrades_&_More_Network_Perks_with_Metal+_Dedicated_Servers.md
EPYC Milan,256,$59.95,214876_Tier.Net_-_Enterprise_Intel_Server_Discounts.md
EPYC -,256,$62,"210328_server.net_-_New_Amsterdam_Dedicated_Server_Stock,_AMD_Ryzen,_AMD_EPYC_-_%30_Discount_for_3_Months!).md"
EPYC,256,$155,"203886_Dual_Gold_6138__40_Cores,_256GB_RAM,_10Gbps_—_Only_$155mo!.md"
epyc-149-gpus-from-20,256,$99,216811_May_the_Force_Deals_+_Giveaway_🎁__Ryzen_$99__Scalable_&_EPYC_$149__GPUs_from_$20.md
EPYC 7443P,256,$500,"213310_Full-Rack_10G_Fiber_Colo_$500m_starting!_Colos,_Dedis_and_Storage_at_Microtronix_DC_(Ohio).md"
Epyc Dedicated,256,$200,"214676_Best_Price_for_AMD_Ryzen,_Epyc_Dedicated_Servers__LA,_NY_&__Miami.md"
EPYC KVM,256,$7,210284_10Gbps_RyzenEPYC_KVM_VPS__From_$7yr__Up_to_50%_OFF__Flash_SALE_&_GIVEAWAY!_&_DOUBLE_BW.md
EPYC 4545P,256,$99,"214289_Get_Metal+_at_Checkout_for_25%_OFF_upgrades,_Free_10_Gbps_Port_and_Additional_Free_IPv4.md"
Xeon Gold 6122,256,$65,216414_Dedispec_Dual_E5-2630v4__128GB_RAM__480GB_NVMe__GTX_1080__1Gbit_Unmetered_-_$65.md
epyc-from-12-yr-double-bandwidth,256,$12,207631_Premium_KVM_VPS__Up_to_10_Gbps__Pure_NVMe__RyzenEPYC__From_$12yr_–_DOUBLE_BANDWIDTH.md
Ryzen 9,256,$70,210110_F_I_B_E_R_S_T_A_T_E_–_N_Y_C_–_L_A_U_N_C_H_–_DOUBLE_ALL_THE_THINGS._9950X_MADNESS_+_GIVEAWAYS.md
EPYC 7532,256,£49,215913_Easter_Special_-_upto_25%_off_-_West_Midlands_Private_DC__Dedicated_Servers_from_£49m.md
Epyc 4545P,256,$69,"215097_[Dedicated_Servers]_Starting_at_$69mo_-_Instant_Setup_-_Ryzen,_Intel_and_MORE.md"
EPYC Deal,256,$69.99,"215587_AMD_RyzenEPYC_Deal_for_Singapore,_Tokyo,_Hong_Kong_and_Los_Angeles.md"
EPYC 4545P,256,$20,213535_[20th_Anniversary_Sale]_Get_2Gbps_Unmetered_for_$20mo_on_Popular_Dedis!_(Limited_Time).md
epyc-builder,256,$49,212006_Tier.net_-_Black_Friday_-_Take_a_look_inside!.md
EPYC 4545P,256,$29,216387_Dedicated_Servers_from_$29mo_Amsterdam_Pre-orders_Are_Open__Limited_Availability.md
EPYC,256,$62,"214471_server.net_-_Amsterdam_Dedicated_Servers,_Ryzen_9950X,_Ryzen_9700X_-_%30_Discount_for_3_Months!).md"
Xeon Gold Processor,256,$18.99,210545_🎇_Happy_Diwali_2025_–_Cloud_VPS_Hosting_Sale_-_HostNamaste.com_🎆.md
EPYC 7351P,256,$271.60,207327_Nuyek’s_July_4th!_–_EPYC_7351P_Server_128GB_RAM_for_$271.60yr_(_7551P_+_256GB_RAM_$402.98yr_).md
Epyc 4545P,256,$99,"211966_Black_Friday_Mega_Sale_on_Dedicated_Servers__Buy_1,_Get_1_Free__Free_Year_of_Metal+.md"
epyc-kvm-deals-high-storage-servers-exclusive-flash-sales,256,Unknown,"199883_AlphaVPS_-_BF2024_MEGA_THREAD!_RYZEN,_EPYC,_KVM_DEALS,_HIGH-STORAGE_SERVERS_&_EXCLUSIVE_FLASH_SALES!.md"
EPYC VPS,256,$15,213889_New_Storage_Plans!_•_10Gbps_RyzenEPYC_VPS__From_$15yr__Up_to_50%_OFF__GIVEAWAY_+_DOUBLE_BONUSES.md
EPYC 9534,256,$11.98,"213153_HostSailor_-_Christmas_&_New_Year_Special_40_-_85%_Lifetime_Discounts,_Double_RAM_and_Disk.md"
Epyc 9754,256,$29,207880_BudgetVM_-_Giveaway_(Free_Epyc_9754)__E3's_$29__10G_Scalable's_$139__Ryzen_$99.md
EPYC Deal,256,$69.99,"214695_AMD_RyzenEPYC_Deal_for_Tokyo,_Hong_Kong_and_Los_Angeles.md"
EPYC KVM,256,$119,210718_10Gbps_RyzenEPYC_KVM_VPS__Up_to_66%_OFF!__GIVEAWAY!_+_Halloween_Sale_+_DOUBLE_BANDWIDTH.md
Xeon Gold virtual,250,$7,202948_3.4Ghz_Xeon_Gold_virtual_servers_are_on_sale_for_the_first_time!.md
EPYC Rome,250,$68,200011_GREENCLOUD__BLACK_FRIDAY_&_CYBER_MONDAY_SALE__UP_TO_90%_OFF__GIVEAWAYS.md
EPYC 9754,240,€ 30,212173_[NL]_Black_Friday__HiPerf_Storage_VPS_25Gbps__Ryzen_9950X_NVMe_VPS_15Gbps__WebReseller_hosting.md
EPYC processor,200,$6.00,200745_HostSailor_-_12.12_Mega_Deal_Get_Your_KVM_VPS_NVMe_at_90%_Recurring_Discount_–_Forever!.md
EPYC Turin,200,€7.99,"215785_ComputeBox_Turns_1__AMD_EPYC_Turin_+_Milan_+_4000ADA_GPU__Hamburg_&_Bremen,_Germany.md"
epyc-25tb-bandwidth-10gbit,200,$25.85,202576_Leaseweb__Singapore_Vps_AMD_EPYC_&_25TB_Bandwidth_10Gbit.md
epyc-25tb-bandwidth-10gbit,200,$25.85,202173_Leaseweb__Singapore_Vps_AMD_EPYC_&_25TB_Bandwidth_10Gbit.md
Ryzen 5,192,$1000,212422_$1000_Giveaway__Sparked_Host__Cyber_Monday_Sale_-_50%_OFF_VPS_PLANS_-_15%_OFF_DEDICATED_SERVERS.md
Xeon Gold 5115,192,$59.70,211947_BLACK_FRIDAY_-10G_FULL_UNMETERED__-_1st_Month_Half_Price_PLUS_40%_off_for_lifetime_-_from_$59.70.md
Xeon Gold 5115,192,$39.80,209780_10G_FULL_UNMETERED__-_80%_off_month_1_PLUS_30%_off_for_lifetime_-_from_$39.80.md
EPYC Milan,192,$69,207215_Sparked_Host__July_4th_Server_Sale__Ryzen_Servers_from_$69mo__2-Month_Free_Server_Giveaway.md
Ryzens,192,$99,207240_GorillaServers_Explosive_JULY_4TH_Event_–_Bare_Metal_Deals_+_Free_Gear!.md
Ryzen 9,192,$1.97,211721_ColoCrossing's_Black_Friday_Sale!_VPS_from_$1.97mo__Dedicated_Servers_from_$147.96yr__+_MORE.md
Ryzen 9,192,$11.99,210275_ColoCrossing's_Special_Offers_-_VPS_Offers_from_just_$11.99year_+_Dedicated_Servers_from_$25month!.md
Ryzen 7900,192,Unknown,213606_RTX_4060_(or_similar)+Ryzen_7900_AIO_Tower_Server_(Taking_pre-orders)_-_HostCram_LLC.md
Xeon Gold 5115,192,$59.70,208731_10G_FULL_UNMETERED__-_3_Months_50%_off_PLUS_up-to_extra_40%_off_for_lifetime_-_from_$59.70.md
Ryzen 9900X,192,$15.95,212394_SIZZLING_HOT_SMARTHOST_-_CYBER_WEEK_SALE_-_Ryzen_9900X_Blowout_-_Giveaways!.md
EPYC 9274,192,$8.50,211342_TierNet__New_VPS_Level_Released_-_Featuring_Threadripper_&_EPYC_9274+_Servers!_Inc._25GigE.md
EPYC Milan,192,$100,217260_TierNet_-_Intel_Xeon_Server_Deals_–_10GigE_Bandwidth_Included_-_below_$100.md
EPYC,192,$99.50,212180_DartNode_Black_Friday_Edition_2025_-_Ryzen_9950X_Dedicated_Giveaway_-_Deals_Inside_-_We_Go_to_Space.md
EPYC Milan,192,$59.95,216457_Tier.Net_-_Limited-Time_Intel_Deals.md
Xeon Gold 5115,192,$39.80,"210569_10G_FULL_UNMETERED,_ITS_BACK!_80%_off_month_1_PLUS_30%_off_for_lifetime_-_from_$39.80.md"
ryzen-xeon-dedicated-servers-starting-at-95-frankfurt-germany,192,€105,"216682_Ryzen_&_Xeon_Dedicated_Servers_starting_at_95_€_—_Frankfurt,_Germany.md"
Ryzen NVMe,180,$5,"214607_[Daily_Giveaway]_$5_Free_Credit_for_Ryzen_NVMe_VPS_Windows&Linux__FREE_Daily_Backup__TR,US,CA,UK,D.md"
EPYC 7301,160,$3,208086_KVM_VPS_(EUUSA)_–_Free_Upgrades_•_IPv4_+_64_IPv6_•_VirtFusion_•_Instant_Setup.md
EPYC Milan,160,$11.16,202182_Onidel__Singapore_&_Sydney__AMD_EPYC_Milan__NVMe_Block_Storage__50%_OFF.md
EPYC 7301,160,$3,206617_KVM_VPS_(EUUSA)_–_Free_Upgrades_•_IPv4_+_64_IPv6_•_VirtFusion_•_Instant_Setup.md
EPYC Options,128,$3.75,211022_PureVoltage_Black_Friday_Deals!__GIVEAWAYS__Dedicated_Servers__8GB_VPS_Starting_from_$3.75m.md
ryzen-xeon-dedicated-servers-starting-at-85-located-in-frankfurt-germany,128,Unknown,"209004_SALE_Ryzen__Xeon_Dedicated_Servers_starting_at_85€_located_in_Frankfurt,_Germany.md"
epyc-199-gpus-from-20,128,$159,216239_April_Deals_Are_No_Joke_😄_+_Giveaway_🎁__Ryzen_$159__Scalable_$189__EPYC_$199__GPUs_from_$20.md
Ryzen Dedicated,128,Unknown,207946_Ryzen_Dedicated_Server_Deal_starting_at_80€_located_in_Frankfurt_am_Main.md
EPYC NVMe,128,$5,210519_ReadyDedis_LLC_-_AMD_EPYC_NVMe_VPS_and_7950X_Dedicated_Servers_in_New_Jersey_&_Los_Angeles.md
Xeon Gold 5115,128,$56.70,207381_10G_UNMETERED__-_6_Months_Half_Price_PLUS_extra_40%_off_for_lifetime_-_from_$56.70.md
Epyc 7443p,128,$181,217237_1GServers.com__Pre-Summer_Warmup_2026_Dedicated_Server_Deals__US-WEST.md
EPYC Milan,128,$129,209126_Tier.net_SALE__Ryzen_5950X7950X9950X_-_from_$129mo.md
Ryzen 7950X3D,128,$139.88,208569_1GServers.com_--_Back_To_School_Dedicated_Server_Deals_[US-WEST].md
Xeon Gold 5118,128,€100,215187_Montreal_🇨🇦_&_Amsterdam_🇳🇱__10Gbps_Ports__From_€100mo__10_Min_Instant_Deploy__RedSwitches.md
Xeon Gold 5118,128,€100,210906_Halloween_Special_10Gbps_Dual_Xeon__24–32_Cores__From_€100__RedSwitches.com.md
Xeon Gold 5115,128,$47.25,208165_10G_UNMETERED__-_2_Months_75%_off_PLUS_extra_25%_off_for_lifetime_-_from_$47.25.md
Ryzen 7,128,$100,212201_B_L_A_C_K_F_R_I_D_A_Y_S_A_L_E_-_FIBERSTATE_MEGA_SALE_+_STORAGE_SERVERS_+_GIVEAWAYS!!.md
EPYC servers,128,Unknown,"215907_Ryzen_5700X,_5950X,_7950X3D,_9950X3D,_i9-10900K_Dedicated_Server_Deals_starting_at_120€.md"
Ryzen specials,128,$39,212456_Dedispec_Cyber_Monday_Deals_$39_Dual_E5_Deals__BYO_GPU_Deals__10%_Off_Colocation.md
Ryzen 5700X,128,$137,209173_PoloCloud__5700X_Dedicated_Server_at_Hong_Kong_ONLY_~137USD.md
ryzen-vps,128,$50.96,209507_DartNode_End_of_Summer_Update__6x_Dedicated_Server_Giveaway__Dart-A-Thon_Savings.md
Xeon Gold 6244,128,$150.00,208803_[Pre-Order]_Pakistan_-_DualSingle_Gold_6244_-_4.4Ghz_T_-_128G_Mem_-_1G_@_50TB_-_$150.00m.md
Ryzen 3600,128,€34,210261_Gigahost_Autumn_Sale_is_here_-_Huge_discounts_on_dedicated_servers.md
Ryzen 9,128,$3.67,210731_BalHost_-_Dedicated_Server_-_VPS_Server__NVMe_VPS_From_3.67$__7950X_DEDI__Turkey_Location.md
epyc-199-gpus-from-20,128,$159,215650_BudgetVM_-_Spring_Giveaway_(Free_Server!)__Ryzen_$159__Scalable_$189__EPYC_$199__GPUs_from_$20.md
Ryzen 7950X3D,128,$53.84,206887_1GServers.com_-_Summer_Kickoff_Dedicated_Server_Sale_-_Deals_start_at_$53.84mo!.md
epyc-ryzen-unbeatable-storage-servers,128,$1,"204478_GorillaServers_-_High-Performance_AMD_EPYC,_Ryzen,_&_Unbeatable_Storage_Servers.md"
EPYC Processor,128,€4,212205_ServerBear_Black_Friday_Deals_Bonanza_ AMD_Turin_CPU__Unmetered_NVMe_VPS_from_€4mo_in_NL.md
EPYC Promotions,128,$99,212511_BudgetVM_-_Christmas_Giveaway_(Free_Server!)__Ryzen’s_$99__Scalable's_$139__EYPC's_$199.md
Ryzen performance,128,$141.79,215282_1GServers.com__Pi-Day_2026_Dedicated_Server_Deals__US-WEST.md
EPYC 4564,128,£199,209320_[UK]_AMD_EPYC_4564_Dedicated_Servers_from_£199mo.md
EPYC 4564,128,£199,210565_[UK]_AMD_EPYC_4564_Dedicated_Servers_from_£199mo.md
Ryzens,128,$104,212020_1GServers.com__Black_Friday_2025_Dedicated_Server__Huge_Savings_On_E5_&_Ryzens!.md
epyc-199-gpu-from-20-free-server-giveaway,128,$159,216259_BudgetVM_Deals__Ryzen_from_$159__Scalable_$189__EPYC_$199__GPU_from_$20__Free_Server_Giveaway.md
Xeon Gold 5118,128,$150,"209226_RedSwitches_-_Amsterdam_Dedicated_Servers_–_Dual_Xeon,_10Gbps,_250TB_–_From_$150mo.md"
Ryzen 7,128,$15.40,215837_OVHcloud_•_Flash_Sale_•_Up_to_20%_off_Dedicated_Servers_•_APACEUNAM_Locations.md
Xeon Gold 5118,128,€125,213263_EOY_Offers_-_Dual_Xeon_Gold_+_10Gbps_Uplink_–_Instant_Deploy_–_Redswitches.md
EPYC Milan,128,$188,209698_Tier.net__Unbeatable_Savings_on_Ryzen_3950X7950X5950X9950X.md
ryzen-dual-e5-10g-deals-inside,128,$152.05,205761_1GServers.com_--_Pre-Summer_Power-Up_Dedicated_Server_Sale_Ryzen_&_Dual_E5_10g_Deals_Inside!.md
EPYC 7571,128,$49.90,214037_George_Datacenter_Dedicated_Server_From_$49.90__Los_Angeles__Dallas.md
EPYC Milan,128,$50,210334_Tier.net__Ryzen_5950X_and_7950X_on_Sale_-_70_USD_Discount.md
Ryzen 7,128,$45,210112_Dedispec_Fall_Sale_Dual_E5_starting_at_$45__Ryzen_7_64GB_RAM_$50.md
Ryzen 5950x,128,$99.99,"210401_Dallas,_TX_DEDICATED__Ryzen_5950x__Ryzen_5900x__Ryzen_3950x__Ryzen_3900x__I9-10900k__I7-7700k.md"
Ryzen 7950X3D,128,£43,"196136_server.net_-_Dedicated_Servers_UK_London,_Ryzen_7950X3D,_Intel_Xeon_4th_gen,_Best_priceperformance.md"
EPYC-based,128,$5,"212134_servaRICA_Black_Friday_2025,_Dedicated_GPU,_Unlimited_Storage,_loads_of_resources_for_VDS_and_more.md"
Xeon Gold 5115,128,$49.50,206280_Giveaway_-_Plus_New_10G25G_Servers_&_Low_End_Range.md
Ryzen 9,128,$3.67,213306_BalHost_-_Dedicated_Server_-_VPS_Server__NVMe_VPS_From_3.67$__7950X_DEDI__Turkey_Location.md
Ryzen 7950X3D,128,$104,212941_1GServers.com__Christmas_2025_Dedicated_Server_Deals__US-WEST.md
EPYC Milan,128,$119,213493_Tier.Net_-_5950X_and_7950X_-_Hurry!_Price_Hike_Coming_Soon!.md
Ryzen 9900X,128,$10.40,"212262_CometVPS_Returns_to_LET_for_BF_2025_—_Blast_Off_With_Massive_Deals,_Flash_Sales,_Giveaways_&_More!.md"
Xeon Gold 5118,128,$199,208490_[NL]_Dual_Xeon_Gold_5118_•_24C48T_•_128GB_RAM_•_10Gbps_•_$199mo_•_RedSwitches.md
EPYC Promotions,128,$10,214625_Deals_Bigger_than_the_Olympic_Ski_Jumpers_Injections!.md
Ryzen 5700G,128,Unknown,"210376_Ryzen_5700GX,_5950X,_7700X_Dedicated_Server_Deal_starting_at_80€_located_in_Frankfurt_am_Main.md"
Ryzen 4,128,$20,207248_DartNode__4th_of_July_Inside__Dedicated_Server_Giveaway_for_a_Year!.md
EPYC 4C,128,Unknown,"194754_heartbeat_IT__NL__RYZEN_4C8GiB200GiB_8,99_€m__AMD_EPYC_4C16GiB200GiB_8,99€m_VPS__2.5_GBIT.md"
